ticker,name,sector,industry,country,exchange,description
ICICIBANK.NS,ICICI Bank,Financials,Banks,IN,NSE,Private bank with improving return ratios. Often cheaper than HDFC.
SBIN.NS,State Bank of India,Financials,Banks,IN,NSE,PSU bank. Credit cycle and government ownership discount.
BHARTIARTL.NS,Bharti Airtel,Communication,Telecom,IN,NSE,India wireless consolidation beneficiary.
ITC.NS,ITC,Consumer Staples,FMCG,IN,NSE,"Cigarettes plus FMCG. Cash generation, slow re-rating debate."
HINDUNILVR.NS,Hindustan Unilever,Consumer Staples,FMCG,IN,NSE,"India staple compounder. Quality, rarely cheap."
LT.NS,Larsen & Toubro,Industrials,Engineering,IN,NSE,Infra and engineering. Capex-cycle exposure.
MARUTI.NS,Maruti Suzuki,Consumer Discretionary,Autos,IN,NSE,India passenger-vehicle leader. Rural and urban mix.
SUNPHARMA.NS,Sun Pharma,Healthcare,Pharma,IN,NSE,Specialty plus India formulations.
AXISBANK.NS,Axis Bank,Financials,Banks,IN,NSE,Private bank. Credit costs still the swing factor.
BAJFINANCE.NS,Bajaj Finance,Financials,NBFC,IN,NSE,Consumer finance compounder. Growth and valuation both rich.
WIPRO.NS,Wipro,Technology,IT Services,IN,NSE,"IT services. Often the cheaper, slower-growth cousin of TCS/Infosys."
ASIANPAINT.NS,Asian Paints,Materials,Paints,IN,NSE,"Pricing power in decorative paints. Quality, housing-linked."
TITAN.NS,Titan,Consumer Discretionary,Jewellery,IN,NSE,Jewellery and watches. Discretionary India consumption.
ULTRACEMCO.NS,UltraTech Cement,Materials,Cement,IN,NSE,India cement scale. Infra and housing cycle.
NESTLEIND.NS,Nestle India,Consumer Staples,FMCG,IN,NSE,"Premium staple. High ROE, high multiple."
POWERGRID.NS,Power Grid,Utilities,Transmission,IN,NSE,Regulated transmission. Defensive India utility.
NTPC.NS,NTPC,Utilities,Electric,IN,NSE,Generation utility. Yield and regulated return.
ONGC.NS,ONGC,Energy,E&P,IN,NSE,"Upstream oil. Commodity beta, government ownership."
TATAMOTORS.NS,Tata Motors,Consumer Discretionary,Autos,IN,NSE,"JLR plus India CV/PV. Cyclical, improving mix."
TATASTEEL.NS,Tata Steel,Materials,Steel,IN,NSE,"Steel cycle. Value when spreads are wide, painful when they are not."
COALINDIA.NS,Coal India,Energy,Mining,IN,NSE,Volume and dividend story. Policy and volume risk.
